feature,giorgio,nan
parameter,FS-P2-1 [mA],CE04_temp [\\°C]
series,3f695c37-aed7-4e7f-a642-1779dfb1eb87,4021c86d-6efe-4ca2-8fbc-0209c8ecfc59
timestamp,,
2022-06-16 09:28:29,,27.4
2022-06-16 09:32:56,,27.6
2022-06-16 09:42:12,,28.1
2022-06-16 09:57:36,,28.7
2022-06-16 10:57:35,,29.9
2022-06-16 11:57:35,,30.8
2022-06-16 12:57:35,,30.6
2022-06-16 13:57:35,,31.0
2022-06-16 14:57:35,,31.3
2022-06-16 15:57:35,,37.3
2022-06-16 16:57:35,,38.7
2022-06-16 17:57:35,,34.6
2022-06-16 18:57:35,,35.3
2022-06-16 19:57:35,,30.3
2022-06-16 20:57:35,,27.0
2022-06-16 21:57:35,,24.7
2022-06-16 22:57:35,,23.5
2022-06-16 23:57:35,,22.5
2022-06-17 00:57:35,,22.3
2022-06-17 01:57:35,,21.6
2022-06-17 02:57:35,,20.8
2022-06-17 03:57:35,,20.9
2022-06-17 04:57:35,,20.0
2022-06-17 05:57:35,,20.8
2022-06-17 06:57:35,,21.6
2022-06-17 07:57:35,,22.9
2022-06-17 08:57:35,,25.0
2022-06-17 09:57:35,,27.5
2022-06-17 10:57:35,,28.7
2022-06-17 11:57:35,,31.6
2022-06-17 12:57:35,,31.6
2022-06-17 13:57:35,,31.5
2022-06-17 14:57:35,,31.8
2022-06-17 15:57:35,,28.8
2022-06-17 16:57:35,,30.2
2022-06-17 17:57:35,,28.7
2022-06-17 18:57:35,,31.8
2022-06-17 19:57:35,,28.0
2022-06-17 20:57:35,,26.1
2022-06-17 21:57:35,,25.2
2022-06-17 22:57:35,,24.0
2022-06-17 23:57:35,,23.0
2022-06-18 00:57:35,,22.6
2022-06-18 01:57:35,,22.0
2022-06-18 02:57:35,,21.2
2022-06-18 03:57:35,,20.5
2022-06-18 04:57:35,,20.7
2022-06-18 05:57:35,,20.3
2022-06-18 06:57:35,,21.2
2022-06-18 07:57:35,,23.2
2022-06-18 08:57:35,,26.8
2022-06-18 09:57:35,,29.5
2022-06-18 10:57:35,,31.4
2022-06-18 11:57:35,,32.8
2022-06-18 12:57:35,,33.4
2022-06-18 13:57:35,,34.5
2022-06-18 14:57:35,,34.2
2022-06-18 15:57:35,,38.4
2022-06-18 16:57:35,,39.1
2022-06-18 17:57:35,,35.0
2022-06-18 18:57:35,,34.3
2022-06-18 19:57:35,,29.5
2022-06-18 20:57:35,,26.8
2022-06-18 21:57:35,,25.1
2022-06-18 22:57:35,,24.2
2022-06-18 23:57:35,,23.8
2022-06-19 00:57:35,,23.5
2022-06-19 01:57:35,,22.8
2022-06-19 02:57:35,,21.9
2022-06-19 03:57:35,,20.9
2022-06-19 04:57:35,,20.8
2022-06-19 05:57:35,,20.7
2022-06-19 06:57:35,,22.1
2022-06-19 07:57:35,,23.8
2022-06-19 08:57:35,,26.2
2022-06-19 09:57:35,,27.9
2022-06-19 10:57:35,,29.5
2022-06-19 11:57:35,,31.0
2022-06-19 12:57:35,,32.2
2022-06-19 13:57:35,,32.7
2022-06-19 14:57:35,,32.9
2022-06-19 15:57:35,,39.6
2022-06-19 16:57:35,,41.4
